article_id,article_global_id,db_id
3034,10.1093/nar/gkv1118,MBDC0177
3018,10.1093/nar/gkv1117,MBDC1855
2943,10.1093/nar/gkv1116,NAR9070
2985,10.1093/nar/gkv1115,NAR9137
2769,10.1093/nar/gkv1114,MBDC1898
3094,10.1093/nar/gkv1108,MBDC1890
3003,10.1093/nar/gkv1107,MBDC1729
2994,10.1093/nar/gkv1106,MBDC1870
3030,10.1093/nar/gkv1105,MBDC0001
3120,10.1093/nar/gkv1104,MBDC1672
2977,10.1093/nar/gkv1103,MBDC0790
2967,10.1093/nar/gkv1101,MBDC1646
2979,10.1093/nar/gkv1100,MBDC1470
3027,10.1093/nar/gkv1097,MBDC1886
2983,10.1093/nar/gkv1096,MBDC1889
3047,10.1093/nar/gkv1094,MBDC1887
2947,10.1093/nar/gkv1082,MBDC1849
2964,10.1093/nar/gkv1081,MBDC0230
2957,10.1093/nar/gkv1077,MBDC1399
3035,10.1093/nar/gkv1076,MBDC1864
3048,10.1093/nar/gkv1075,MBDC1894
3112,10.1093/nar/gkv1072,MBDC0979
2970,10.1093/nar/gkv1070,MBDC0112
3098,10.1093/nar/gkv1068,MBDC1880
3026,10.1093/nar/gkv1060,MBDC1628
3105,10.1093/nar/gkv1054,MBDC1902
3093,10.1093/nar/gkv1052,MBDC1868
3073,10.1093/nar/gkv1051,MBDC1385
3031,10.1093/nar/gkv1050,MBDC1865
3016,10.1093/nar/gkv1049,MBDC1854
3060,10.1093/nar/gkv1048,MBDC1857
3059,10.1093/nar/gkv1047,MBDC0456
3021,10.1093/nar/gkv1046,MBDC0071
3005,10.1093/nar/gkv1045,MBDC1294
3008,10.1093/nar/gkv1042,MBDC1853
2978,10.1093/nar/gkv1041,MBDC1905
3038,10.1093/nar/gkv1037,MBDC1737
2961,10.1093/nar/gkv1036,MBDC1843
3118,10.1093/nar/gkv1035,MBDC1900
2948,10.1093/nar/gkv1031,MBDC0646
2944,10.1093/nar/gkv1030,MBDC1531
3081,10.1093/nar/gkv1029,MBDC0339
2998,10.1093/nar/gkv1024,MBDC1565
3116,10.1093/nar/gkv1007,MBDC0526
2962,10.1093/nar/gkv1006,MBDC1563
2971,10.1093/nar/gkv1004,MBDC1867
3072,10.1093/nar/gkv1003,MBDC1907
3041,10.1093/nar/gkv1002,MBDC1837
3090,10.1093/nar/gkv1001,MBDC1550
1347,10.1093/nar/gku991,MBDC1766
2886,10.1093/nar/gku990,MBDC1172
2900,10.1093/nar/gku989,MBDC0318
2883,10.1093/nar/gku988,MBDC1420
2856,10.1093/nar/gku987,MBDC0152
2837,10.1093/nar/gku986,MBDC1818
2786,10.1093/nar/gku985,MBDC0944
2774,10.1093/nar/gku984,MBDC1801
2928,10.1093/nar/gku983,MBDC1794
2884,10.1093/nar/gku982,MBDC1773
2787,10.1093/nar/gku980,MBDC1827
2821,10.1093/nar/gku977,MBDC1764
2887,10.1093/nar/gku975,MBDC1784
2914,10.1093/nar/gku973,MBDC1614
2888,10.1093/nar/gku970,MBDC1765
2801,10.1093/nar/gku968,MBDC1427
2873,10.1093/nar/gku967,MBDC0087
2852,10.1093/nar/gku966,MBDC1780
2842,10.1093/nar/gku961,MBDC1512
2772,10.1093/nar/gku956,MBDC1151
2832,10.1093/nar/gku955,MBDC1813
2813,10.1093/nar/gku954,MBDC1775
2782,10.1093/nar/gku950,MBDC0075
2809,10.1093/nar/gku949,MBDC0218
2869,10.1093/nar/gku948,MBDC1811
2909,10.1093/nar/gku947,MBDC0258
2901,10.1093/nar/gku946,MBDC0613
2907,10.1093/nar/gku944,MBDC1793
2934,10.1093/nar/gku943,MBDC1810
2920,10.1093/nar/gku938,MBDC0779
2866,10.1093/nar/gku935,MBDC1188
2846,10.1093/nar/gku928,MBDC1781
2924,10.1093/nar/gku920,MBDC1763
2848,10.1093/nar/gku903,MBDC1791
2905,10.1093/nar/gku895,MBDC1825
2860,10.1093/nar/gku894,MBDC1822
2788,10.1093/nar/gku893,MBDC1828
