"quartile","db_count","art_count","art_per_db","std","raw_cit_sum","curr_available_count"
1,194,648,3.34020618556701,3.25078419534863,268704,155
2,338,812,2.40236686390533,2.80063478736383,72889,232
3,385,664,1.72467532467532,1.59329289557264,23528,236
4,440,571,1.29772727272727,0.90051583202029,7211,193
